Dimension,Algorithm,Benchmark,Mean,Best,Std
2,DE,high_conditioned_elliptic,3.288179030658406,2.4686500048751492e-11,12.006774056075777
2,GA,high_conditioned_elliptic,19.010247619079113,8.555585123176467e-05,15.475630371811556
2,DE,bent_cigar,110.69981310874978,1.6326241968267075e-09,524.70276824769
2,GA,bent_cigar,7929.92024620219,0.0064449763109991395,1325.7211741637475
2,DE,discus,185.55427778937687,2.1608547041043315e-09,784.8538519105916
2,GA,discus,3793.049474982726,0.0580707515690737,1154.4257688212456
2,DE,rosenbrocks,0.5365659111647877,5.919757894954373e-07,1.4915000054944354
2,GA,rosenbrocks,1.5013916578184456,2.5412431916577622e-08,3.5929280793163394
2,DE,ackleys,0.3265352282881507,3.1075678426084608e-06,0.7269688221600092
2,GA,ackleys,1.3877703569274586,0.001499626837656809,0.5430299780536827
2,DE,weierstrass,-127.10184034138317,-133.44509257649207,8.565768169213552
2,GA,weierstrass,-127.96619491465063,-133.44945532153497,9.937786886633186
2,DE,griewanks,0.013572099866135402,6.911283452060157e-05,0.0054768984464996645
2,GA,griewanks,0.008060598550943694,5.143919734607039e-10,0.008390132630448353
2,DE,rastrigins,0.8504976111028515,2.6931248200412483e-06,1.452395623553976
2,GA,rastrigins,1.7477214596495965,5.0497883115951936e-05,1.6481854157970806
