Dimension,Algorithm,Benchmark,Mean,Best,Std
10,DE,high_conditioned_elliptic,1261.5219797662583,0.49597413557421965,2372.218856624122
10,GA,high_conditioned_elliptic,1040.222649767047,125.37835747371106,1178.629782540153
10,DE,bent_cigar,8815721.125487657,2275.7073328683064,18471913.179705307
10,GA,bent_cigar,8445988.501098063,1383144.4924781295,10227286.220590692
10,DE,discus,307.71689501854934,0.12125585044433006,511.03299161104275
10,GA,discus,5188.870035187792,8.88010185974975,651.1519501059182
10,DE,rosenbrocks,15261.683417793833,27.393834570789263,36387.14596070323
10,GA,rosenbrocks,8047.606487375152,245.21906957065244,22830.259826219935
10,DE,ackleys,3.9799159817074186,0.18338421062235755,2.850463332287794
10,GA,ackleys,4.550568861949661,2.6498675137476835,1.0261804185220433
10,DE,weierstrass,-315.2674281143653,-428.60227127328136,25.46679054243288
10,GA,weierstrass,-430.0243985516023,-663.9699944400353,92.29922141900526
10,DE,griewanks,0.5971356511281835,0.26200383663658056,0.08281153973511028
10,GA,griewanks,0.20957046823236217,0.03582672575547441,0.1189225544056006
10,DE,rastrigins,74.6903154117196,32.638238053234204,36.78319840437894
10,GA,rastrigins,26.754054237353824,6.391409332841604,25.653703865527344
